alinma,event_id,kickoff,home,away,lig,lig_kodu,canli,odd_1,odd_0,odd_2,wodd_1,wodd_0,wodd_2,marj
2026-08-16 15:10,3056613,2026-08-16 15:30,FC Otelul Galati,Un. Craiova,Romanya 1. Lig,1912,1,3.76,3.15,1.67,3.62,3.04,1.61,0.1822
2026-08-16 15:10,3057367,2026-08-16 15:30,NK Radomlje,NK Aluminij Kidricevo,Slovenya 1. SNL,1000,1,2.22,3.09,2.46,2.14,2.98,2.37,0.1806
2026-08-16 15:10,3057385,2026-08-16 15:30,Cracovia,Rakow Czestochowa,Polonya Ekstraklasa,202,1,2.22,2.87,2.61,2.14,2.77,2.52,0.182
2026-08-16 15:10,3057468,2026-08-16 15:30,Puskas Akad,Paksi,Macaristan NB I,576,1,2.03,3.24,2.64,1.95,3.12,2.54,0.18
2026-08-16 15:10,3059032,2026-08-16 15:30,Karcag SE,Tiszakecske FC,Macaristan NB II,2702,1,2.67,2.88,2.18,2.58,2.78,2.1,0.1805
2026-08-16 15:10,3059330,2026-08-16 15:30,Szentlorinc SE,A Csakvar,Macaristan NB II,2702,1,1.87,2.99,3.23,1.8,2.88,3.11,0.1788
2026-08-16 15:10,3059414,2026-08-16 15:30,Nd Dravinja,NK Bilje,Slovenya 2.Lig,22378,1,1.9,2.99,3.11,1.83,2.88,3.0,0.1823
2026-08-16 15:10,3076212,2026-08-16 15:30,BKV Elore,Esmtk Budapest,"Macaristan NB III, Group South East",49917,1,8.01,4.9,1.18,7.72,4.72,1.13,0.1764
2026-08-16 15:10,3076302,2026-08-16 15:30,Balatonalmadi SE,ETO Akademia,"Macaristan NB III, Group North West",49916,1,4.01,4.23,1.44,3.87,4.07,1.38,0.1802
2026-08-16 15:10,3076325,2026-08-16 15:30,FC Dabas,Budapest Honved MFA,"Macaristan NB III, Group South East",49917,1,1.64,3.34,3.64,1.58,3.22,3.51,0.1839
2026-08-16 15:10,3076347,2026-08-16 15:30,1908 Szac Budapest,Dorogi FC,"Macaristan NB III, Group North West",49916,1,5.55,4.18,1.31,5.35,4.03,1.26,0.1828
2026-08-16 15:10,3076349,2026-08-16 15:30,Cigand SE,Salgotarjani Btc,"Macaristan NB III, Group North East",49915,1,1.1,5.56,10.8,1.06,5.35,10.4,0.1815
2026-08-16 15:10,3109522,2026-08-16 15:30,TS Galaxy FC,Gold. Arrow,Güney Afrika Premier Lig,742,1,2.55,2.63,2.45,2.46,2.53,2.36,0.1805
2026-08-16 15:10,3133418,2026-08-16 15:30,Duhok FC,Al-Garaf,Iraq U20 COSAFA Şampiyonası Grup C,33266,1,1.78,2.96,3.56,1.71,2.85,3.43,0.1805
2026-08-16 15:10,3059383,2026-08-16 15:45,Zalgiris Kaunas,FK Transinvest,Litvanya A Ligi,1817,0,1.4,3.76,4.98,1.35,3.62,4.8,0.181
2026-08-16 15:10,3054053,2026-08-16 16:00,Sporting Cristal,Huancayo,"Peru Primera Ligi, Kapanış",1882,1,1.52,3.46,4.28,1.46,3.34,4.13,0.1806
2026-08-16 15:10,3054062,2026-08-16 16:00,Valletta,Zabbar Saint Patrick FC,Malta Premier Lig,46071,1,1.59,3.1,4.39,1.53,2.98,4.23,0.1793
2026-08-16 15:10,3056631,2026-08-16 16:00,CSKA Sofya,Botev Vratsa,Bulgaristan Parva Ligi,31585,1,1.15,4.79,9.56,1.11,4.62,9.21,0.1829
2026-08-16 15:10,3056726,2026-08-16 16:00,NK Brinje Grosuplje,NS Mura,Slovenya 1. SNL,1000,1,2.11,2.95,2.71,2.03,2.85,2.61,0.1819
2026-08-16 15:10,3059007,2026-08-16 16:00,FC Supra Du Quebec,Atletico Ottawa,Kanada Premier Lig,22348,1,2.0,3.22,2.68,1.93,3.11,2.59,0.1837
2026-08-16 15:10,3059043,2026-08-16 16:00,Frosinone,Juve Stabia,İtalya Kupası,605,1,1.44,3.84,5.12,1.39,3.7,4.93,0.1502
2026-08-16 15:10,3059156,2026-08-16 16:00,Randers,Kopenhag,Danimarka Süper Lig,569,1,4.22,3.78,1.55,4.07,3.64,1.5,0.1467
2026-08-16 15:10,3059498,2026-08-16 16:00,Harju JK Laagri,Levadia Tall,Estonya Premium Lig,15822,0,8.12,5.48,1.14,7.83,5.29,1.1,0.1828
2026-08-16 15:10,3059545,2026-08-16 16:00,Flora Tall,Kuressaare,Estonya Premium Lig,15822,0,1.23,4.77,6.43,1.19,4.59,6.19,0.1782
2026-08-16 15:10,3065482,2026-08-16 16:00,Başakşehir,Kocaelispor,Türkiye Süper Lig,584,1,1.56,3.34,4.77,1.51,3.22,4.6,0.1501
2026-08-16 15:10,3065507,2026-08-16 16:00,Ankara Keçiörengücü,Pendikspor,Türkiye 1. Lig,1980,1,2.05,3.03,2.76,1.97,2.92,2.66,0.1802
