alinma,event_id,kickoff,home,away,lig,lig_kodu,canli,odd_1,odd_0,odd_2,wodd_1,wodd_0,wodd_2,marj
2026-08-16 15:10,3065629,2026-08-16 16:00,Kayserispor,Sivasspor,Türkiye 1. Lig,1980,1,1.64,3.2,3.82,1.58,3.09,3.68,0.184
2026-08-16 15:10,3079865,2026-08-16 16:00,SAO Joao Ver,AD Fafe,Portekiz 3.Lig,90800,1,3.2,2.82,1.95,3.08,2.72,1.88,0.1799
2026-08-16 15:10,3080015,2026-08-16 16:00,Vitoria Sernache,SC Covilha,Portekiz 3.Lig,90800,1,2.84,2.82,2.11,2.73,2.72,2.03,0.1807
2026-08-16 15:10,3059198,2026-08-16 16:15,07 Vestur Sorvagur,B36 Torshavn,Faroe Adaları Premier Lig,14408,0,4.48,3.51,1.49,4.32,3.38,1.44,0.1793
2026-08-16 15:10,3059350,2026-08-16 16:15,AL Bukayriyah FC,AL Hazem FC,Suudi Arabistan Kral Kupası,1924,0,4.08,3.12,1.62,3.94,3.01,1.57,0.1829
2026-08-16 15:10,3057072,2026-08-16 16:30,VSN Varazdin,Rijeka,Hırvatistan 1. HNL,207,1,2.7,2.85,2.17,2.6,2.74,2.09,0.1821
2026-08-16 15:10,3058948,2026-08-16 16:30,Mechelen,Standard Liege,Belçika Pro Lig,148,1,2.48,3.04,2.41,2.39,2.93,2.32,0.1471
2026-08-16 15:10,3059050,2026-08-16 16:30,FC Baltika Kaliningrad,Spartak Moskova,Rusya Premier Lig,62,1,3.32,3.05,1.93,3.2,2.94,1.86,0.1472
2026-08-16 15:10,3059314,2026-08-16 16:30,Nublense,Deportes Union La Calera,Şili Premier Lig,49,1,1.62,3.17,4.06,1.56,3.05,3.91,0.179
2026-08-16 15:10,3059371,2026-08-16 16:30,Zalgiris Vilnius,Ban Gargzdai,Litvanya A Ligi,1817,0,1.94,3.17,2.86,1.87,3.05,2.76,0.1806
2026-08-16 15:10,3079890,2026-08-16 16:30,SC Caldas,Lusitano GC,Portekiz 3.Lig,90800,1,2.4,2.74,2.51,2.31,2.64,2.42,0.18
2026-08-16 15:10,3138862,2026-08-16 16:30,Genoa,Ascoli,İtalya Kupası,605,1,1.32,4.28,6.5,1.27,4.13,6.26,0.1451
2026-08-16 15:10,3059164,2026-08-16 16:40,AL Orubah FC,Abha Club,Suudi Arabistan Kral Kupası,1924,0,3.74,3.26,1.65,3.61,3.14,1.59,0.1802
2026-08-16 15:10,3054104,2026-08-16 16:45,FC Baniyas,AL Ain FC,Birleşik Arap Emirlikleri Arap Gulf Ligi,2001,1,8.68,5.08,1.15,8.36,4.9,1.11,0.1816
2026-08-16 15:10,3057057,2026-08-16 17:00,FC Samgurali Tskaltubo,Dinamo Batum,Gürcistan Erovnuli Ligi,16326,1,2.4,3.02,2.32,2.31,2.91,2.23,0.1788
2026-08-16 15:10,3057460,2026-08-16 17:00,FK IMT Novi Beograd,Radnicki Nis,Sırbistan Superliga,5578,1,2.0,2.84,3.03,1.93,2.73,2.92,0.1821
2026-08-16 15:10,3059029,2026-08-16 17:00,Girona,Leganes,İspanya La Liga 2,1951,1,1.44,3.75,5.43,1.38,3.62,5.23,0.1453
2026-08-16 15:10,3059221,2026-08-16 17:00,Espanyol,Levante,İspanya La Liga,129,1,1.97,2.95,3.3,1.9,2.85,3.18,0.1496
2026-08-16 15:10,3059226,2026-08-16 17:00,Rapid Wien,Grazer AK,Avusturya Bundesliga,568,1,1.44,3.83,5.2,1.38,3.69,5.01,0.1478
2026-08-16 15:10,3059229,2026-08-16 17:00,CF Burgos,Cordoba,İspanya La Liga 2,1951,1,2.06,2.99,3.05,1.99,2.88,2.94,0.1478
2026-08-16 15:10,3059272,2026-08-16 17:00,FC Arouca,Moreirense,Portekiz Premier Lig,566,1,1.81,3.09,3.68,1.75,2.98,3.55,0.1478
2026-08-16 15:10,3059337,2026-08-16 17:00,KFC Komarno,Dunajska S,Slovakya Superliga,1939,1,2.9,2.99,1.99,2.79,2.88,1.92,0.1818
2026-08-16 15:10,3059397,2026-08-16 17:00,Sunnersta AIF,Taby FK,İsveç 2.Lig Kuzey Svealand,69898,1,1.62,3.52,3.6,1.56,3.39,3.47,0.1792
2026-08-16 15:10,3059488,2026-08-16 17:00,Porto B,Sporting Farense,Portekiz 2. Lig,1897,1,2.94,2.86,2.03,2.84,2.76,1.95,0.1824
2026-08-16 15:10,3061676,2026-08-16 17:00,Valerenga II,IF Ready,"Norveç 3. Lig, 1. Grup",2671,1,2.67,3.93,1.81,2.57,3.79,1.75,0.1815
2026-08-16 15:10,3120588,2026-08-16 17:00,FC Real Sireti,Sheriff,Moldova Ulusal Lig,17682,1,13.3,6.44,1.05,12.8,6.21,1.0,0.1828
2026-08-16 15:10,3120714,2026-08-16 17:00,FC Zimbru Chisinau,FC Milsami,Moldova Ulusal Lig,17682,1,1.54,3.3,4.32,1.49,3.18,4.16,0.1839
2026-08-16 15:10,3128083,2026-08-16 17:00,FC Dinamo Brest,Isloch,Belarus Premier Lig,1215,1,2.11,2.93,2.74,2.03,2.82,2.64,0.1802
2026-08-16 15:10,3138838,2026-08-16 17:00,Zira FK,Safa,Azerbaycan Premier Lig,1213,1,1.43,3.62,4.95,1.38,3.49,4.77,0.1776
2026-08-16 15:10,3059055,2026-08-16 17:15,Lommel SK,Charleroi,Belçika Pro Lig,148,1,3.03,3.2,1.97,2.92,3.09,1.9,0.1501
2026-08-16 15:10,3059444,2026-08-16 17:15,Fredrikstad,Kristiansund,Norveç Eliteserien,573,1,1.72,3.37,3.69,1.66,3.25,3.56,0.1491
2026-08-16 15:10,3056688,2026-08-16 17:30,Unia Skier,M. Legnica,Polonya 1. Lig,997,1,2.39,3.27,2.19,2.3,3.15,2.11,0.1808
2026-08-16 15:10,3057446,2026-08-16 17:30,S. Stalowa,Avia Swidnik,Polonya 2. Lig,1894,1,2.22,2.9,2.59,2.14,2.79,2.5,0.1814
2026-08-16 15:10,3059456,2026-08-16 17:30,Skala,Gota,Faroe Adaları Premier Lig,14408,0,4.95,3.9,1.38,4.77,3.76,1.33,0.1831
2026-08-16 15:10,3061669,2026-08-16 17:30,Stuttgart II,Vik. Köln,Almanya 3. Lig,161,1,2.06,3.46,2.69,1.98,3.33,2.6,0.1462
2026-08-16 15:10,3102874,2026-08-16 17:30,Jkt Tanzania,Tabora United FC,Tanzanya Premier Lig,19114,1,2.17,2.52,3.1,2.09,2.43,2.98,0.1802
2026-08-16 15:10,3042026,2026-08-16 18:00,T. Suarez,Club Almirante Brown,Arjantin Primera Nacional,24553,1,1.99,2.47,3.63,1.92,2.38,3.5,0.1829
2026-08-16 15:10,3057104,2026-08-16 18:00,Slovan Liberec,Slavia Prag,Çekya 1. Lig,345,1,4.07,3.41,1.55,3.93,3.29,1.5,0.1841
2026-08-16 15:10,3059114,2026-08-16 18:00,KR Reykjavik,Breidablik,İzlanda Urvalsdeild,630,1,1.4,4.65,3.98,1.35,4.48,3.83,0.1806
2026-08-16 15:10,3059167,2026-08-16 18:00,AL Wehda FC,AL Shabab FC (KSA),Suudi Arabistan Kral Kupası,1924,0,4.58,3.6,1.46,4.41,3.47,1.41,0.181
2026-08-16 15:10,3059168,2026-08-16 18:00,Pumas Unam,Queretaro,"Meksika Primera Ligi, Açılış",37,1,1.65,3.31,3.64,1.59,3.19,3.51,0.1829
2026-08-16 15:10,3059316,2026-08-16 18:00,Leones Negros Udeg,Tampico Madero,"Meksika Expansion MX Ligi, Açılış",16741,1,2.06,2.94,2.81,1.99,2.84,2.71,0.1814
2026-08-16 15:10,3059343,2026-08-16 18:00,Vestmannaeyjar,IA Akranes,İzlanda Urvalsdeild,630,1,2.37,3.37,2.16,2.28,3.25,2.08,0.1816
2026-08-16 15:10,3059529,2026-08-16 18:00,Hafnarfjordur,Vikingur Reykjavik,İzlanda Urvalsdeild,630,1,4.02,3.91,1.48,3.88,3.77,1.43,0.1802
2026-08-16 15:10,3092371,2026-08-16 18:00,Bohemians,Longford,İrlanda Federasyon Kupası,1772,1,1.14,5.39,8.55,1.1,5.2,8.24,0.1797
2026-08-16 15:10,3109668,2026-08-16 18:00,CA Sarmiento,CA Huracan,"Arjantin Primera LPF, Kapanış",49038,1,2.94,2.55,2.41,2.84,2.46,2.32,0.1472
2026-08-16 15:10,3133620,2026-08-16 18:00,Erbil SC,AL Kahraba,Iraq U20 COSAFA Şampiyonası Grup C,33266,1,1.65,2.92,4.33,1.59,2.81,4.17,0.1795
2026-08-16 15:10,3133681,2026-08-16 18:00,AL Shorta Baghdad,Karbalaa,Iraq U20 COSAFA Şampiyonası Grup C,33266,1,1.18,4.62,8.36,1.14,4.45,8.05,0.1835
2026-08-16 15:10,3136263,2026-08-16 18:00,Defensor Sporting,Liverpool Montevideo,"Uruguay Primera Ligi, Kapanış",2008,1,2.41,2.76,2.48,2.33,2.66,2.39,0.1805
2026-08-16 15:10,3054287,2026-08-16 18:15,CD Moquegua,Sport Boys,"Peru Primera Ligi, Kapanış",1882,1,2.48,2.78,2.4,2.39,2.68,2.31,0.1796
2026-08-16 15:10,3057221,2026-08-16 18:15,Loko Plovdiv,Dunav 2010,Bulgaristan Parva Ligi,31585,1,1.53,3.22,4.55,1.48,3.11,4.39,0.1839
2026-08-16 15:10,3057452,2026-08-16 18:15,FC Koper,NK Bravo,Slovenya 1. SNL,1000,1,1.58,3.55,3.75,1.52,3.42,3.62,0.1813
2026-08-16 15:10,3057467,2026-08-16 18:15,Gornik Zabrze,Wisla Krakow,Polonya Ekstraklasa,202,1,1.94,3.15,2.87,1.87,3.04,2.77,0.1814
2026-08-16 15:10,3054240,2026-08-16 18:30,Sliema Wanderers,Hibernians,Malta Premier Lig,46071,1,2.06,2.86,2.88,1.99,2.76,2.78,0.1823
2026-08-16 15:10,3056782,2026-08-16 18:30,CS Corvinul 1921 Hunedoara,Cluj,Romanya 1. Lig,1912,1,2.34,2.93,2.42,2.26,2.82,2.34,0.1819
2026-08-16 15:10,3065481,2026-08-16 18:30,Amed Sportif,Erzurumspor FK,Türkiye Süper Lig,584,1,2.1,3.13,2.83,2.02,3.02,2.72,0.149
2026-08-16 15:10,3065490,2026-08-16 18:30,Mardin 1969 Spor,Antalyaspor,Türkiye 1. Lig,1980,1,3.01,3.02,1.93,2.9,2.92,1.86,0.1815
2026-08-16 15:10,3065514,2026-08-16 18:30,Muğlaspor Kulübü,Bandırmaspor,Türkiye 1. Lig,1980,1,2.47,2.74,2.43,2.38,2.64,2.34,0.1813
2026-08-16 15:10,3065639,2026-08-16 18:30,Beşiktaş,Eyüpspor,Türkiye Süper Lig,584,1,1.25,4.86,7.24,1.2,4.69,6.98,0.1439
2026-08-16 15:10,3059230,2026-08-16 18:45,Hellas Verona,Virtus Entella,İtalya Kupası,605,1,1.54,3.46,4.73,1.49,3.34,4.56,0.1498
2026-08-16 15:10,3059296,2026-08-16 18:45,RC Lens,Paris Saint Germain,Fransa Şampiyonlar Kupası,586,1,4.21,3.73,1.56,4.06,3.6,1.51,0.1467
2026-08-16 15:10,3042017,2026-08-16 19:00,Gimnasia Y Esgrima Jujuy,Chaco For Ever,Arjantin Primera Nacional,24553,1,1.79,2.81,3.77,1.72,2.71,3.63,0.1798
2026-08-16 15:10,3056616,2026-08-16 19:00,Z Belgrade,FK Mladost Lucani,Sırbistan Superliga,5578,1,2.98,2.93,1.98,2.87,2.82,1.91,0.1819
2026-08-16 15:10,3056803,2026-08-16 19:00,Partizan,Radnicki,Sırbistan Superliga,5578,1,1.5,3.54,4.31,1.44,3.41,4.15,0.1812
2026-08-16 15:10,3057101,2026-08-16 19:00,Atletico Mineiro,Gremio Porto,Brezilya Serie A,348,1,1.67,3.27,4.1,1.61,3.15,3.95,0.1485
2026-08-16 15:10,3057260,2026-08-16 19:00,Rad. Bijelji,Zrinj Mostar,Bosna Hersek Premijer Ligi,16324,1,4.19,2.85,1.69,4.04,2.75,1.63,0.1813
2026-08-16 15:10,3057490,2026-08-16 19:00,HNK Gorica,Hajduk Split,Hırvatistan 1. HNL,207,1,4.16,3.36,1.55,4.0,3.24,1.5,0.1832
2026-08-16 15:10,3058980,2026-08-16 19:00,Cobresal,Deportes Concepcion,Şili Premier Lig,49,1,2.12,3.03,2.63,2.04,2.92,2.53,0.182
2026-08-16 15:10,3059044,2026-08-16 19:00,Vasco Da Gama,Santos SP,Brezilya Serie A,348,1,1.77,3.19,3.72,1.7,3.07,3.58,0.1473
2026-08-16 15:10,3061817,2026-08-16 19:00,Orense SC,CD Cuenca,Ekvador Pro Lig,5161,1,1.78,2.95,3.59,1.71,2.85,3.46,0.1793
2026-08-16 15:10,3079846,2026-08-16 19:00,Varzim,AD Marco 09,Portekiz 3.Lig,90800,1,1.88,2.88,3.3,1.82,2.78,3.18,0.1822
2026-08-16 15:10,3129720,2026-08-16 19:00,Always Ready,Real Potosi,Bolivya Profesyonel Lig,20546,0,1.2,4.95,6.65,1.16,4.77,6.41,0.1857
2026-08-16 15:10,3059503,2026-08-16 19:15,Lazio,Mantova 1911,İtalya Kupası,605,1,1.18,5.1,9.11,1.14,4.91,8.78,0.1533
2026-08-16 15:10,3059228,2026-08-16 19:30,Las Palmas,Albacete,İspanya La Liga 2,1951,1,1.64,3.32,4.19,1.58,3.2,4.04,0.1496
2026-08-16 15:10,3059474,2026-08-16 19:30,Famalicao,Maritimo,Portekiz Premier Lig,566,1,1.6,3.29,4.6,1.54,3.17,4.43,0.1463
2026-08-16 15:10,3042025,2026-08-16 20:00,Tucuman,Deportivo Madryn,Arjantin Primera Nacional,24553,1,1.7,2.74,4.45,1.63,2.64,4.29,0.1779
2026-08-16 15:10,3042029,2026-08-16 20:00,Central Norte Salta,Gimnasia Y Tiro de Salta,Arjantin Primera Nacional,24553,1,2.58,2.41,2.63,2.49,2.33,2.53,0.1828
2026-08-16 15:10,3056759,2026-08-16 20:00,Racing de Cordoba,S Martin SJ,Arjantin Primera Nacional,24553,1,2.12,2.55,3.15,2.04,2.46,3.04,0.1813
2026-08-16 15:10,3059255,2026-08-16 20:00,York United FC,Hfx Wan,Kanada Premier Lig,22348,1,2.18,3.19,2.45,2.1,3.07,2.36,0.1804
2026-08-16 15:10,3053944,2026-08-16 20:30,FC Cajamarca,U. Deportes,"Peru Primera Ligi, Kapanış",1882,1,3.94,3.06,1.67,3.8,2.95,1.61,0.1794
2026-08-16 15:10,3059279,2026-08-16 21:00,Deportivo San Pedro,Aurora FC,"Guatemala Ulusal Lig, Açılış",16961,0,1.48,3.51,4.57,1.43,3.38,4.4,0.1794
2026-08-16 15:10,3078556,2026-08-16 21:00,CD Choloma,CD Marathon,"Honduras Ulusal Lig, Açılış",17361,0,5.08,3.74,1.39,4.9,3.61,1.34,0.1837
2026-08-16 15:10,3109702,2026-08-16 21:00,River Plate,Argentinos J,"Arjantin Primera LPF, Kapanış",49038,1,1.78,2.95,4.05,1.71,2.85,3.9,0.1477
2026-08-16 15:10,3120680,2026-08-16 21:00,CA Temperley,CA Los Andes,Arjantin Primera Nacional,24553,1,2.09,2.5,3.31,2.02,2.4,3.19,0.1806
2026-08-16 15:10,3143512,2026-08-16 21:00,Depo Tachira,Monagas SC,Venezuela Primera Ligi Kapanış,2938,0,1.35,3.78,5.74,1.3,3.64,5.53,0.1795
2026-08-16 15:10,3061771,2026-08-16 21:15,CS Emelec,CD Tecnico Universitario,Ekvador Pro Lig,5161,1,1.55,3.02,4.87,1.5,2.91,4.7,0.1816
2026-08-16 15:10,3129682,2026-08-16 21:15,Nacional Potosi,Academia del Balompie,Bolivya Profesyonel Lig,20546,0,1.43,4.07,4.25,1.38,3.93,4.09,0.1803
2026-08-16 15:10,3057247,2026-08-16 21:30,America MG,Athletic Club MG,Brezilya Seri B,21,1,2.14,2.68,2.93,2.06,2.59,2.82,0.1817
2026-08-16 15:10,3057563,2026-08-16 21:30,Crb Al,Gremio Novo,Brezilya Seri B,21,1,2.13,2.87,2.76,2.05,2.77,2.66,0.1802
2026-08-16 15:10,3059030,2026-08-16 21:30,Vitoria BA,Botafogo RJ,Brezilya Serie A,348,1,2.14,3.01,2.88,2.06,2.9,2.78,0.1467
2026-08-16 15:10,3059128,2026-08-16 21:30,Mirassol FC SP,Flamengo,Brezilya Serie A,348,1,3.83,3.23,1.73,3.69,3.11,1.67,0.1487
2026-08-16 15:10,3059246,2026-08-16 21:30,Colo Colo,O'Higgins,Şili Premier Lig,49,1,1.38,3.84,5.03,1.33,3.7,4.85,0.1839
2026-08-16 15:10,3135520,2026-08-16 21:30,Penarol Uru,Central Espanol FC,"Uruguay Primera Ligi, Kapanış",2008,1,1.3,3.84,6.48,1.25,3.7,6.25,0.184
2026-08-16 15:10,3059186,2026-08-16 22:00,New York City,Philadelphia Union,ABD Major Lig,15,1,2.37,3.32,2.36,2.28,3.2,2.27,0.1469
2026-08-16 15:10,3059443,2026-08-16 22:00,Municipal Perez Zeledon,Inter San Carlos,"Kosta Rika Primera Lig, Açılış",16681,0,2.26,3.11,2.4,2.18,3.0,2.31,0.1807
2026-08-16 15:10,3059581,2026-08-16 22:00,Chicago Fire,Portland Timbers,ABD Major Lig,15,1,1.4,4.48,4.76,1.35,4.32,4.58,0.1476
2026-08-16 15:10,3092499,2026-08-16 22:00,CD Inca,Angel Firpo,"El Salvador Primera Division, Açılış",21641,0,8.29,4.75,1.18,7.99,4.58,1.13,0.1786
2026-08-16 15:10,3058994,2026-08-16 22:30,Corinthians,Cruzeiro MG,Brezilya Serie A,348,1,2.12,2.82,3.13,2.04,2.72,3.02,0.1458
2026-08-16 15:10,3059188,2026-08-16 22:30,Portland Hearts of Pine,Forward Ma,ABD USL 1.Lig,16338,1,2.6,3.13,2.09,2.51,3.02,2.02,0.1826
2026-08-16 15:10,3143560,2026-08-16 22:30,Dep. La Gua.,Zamora,Venezuela Primera Ligi Kapanış,2938,0,1.47,3.2,5.26,1.42,3.08,5.07,0.1829
2026-08-16 15:10,3058950,2026-08-16 23:00,Union Omaha SC,Richmond,ABD USL 1.Lig,16338,1,1.18,5.11,7.31,1.13,4.92,7.04,0.18
2026-08-16 15:10,3059311,2026-08-16 23:00,CD Suchitepequez,CD Marquense,"Guatemala Ulusal Lig, Açılış",16961,0,1.61,2.92,4.67,1.55,2.81,4.5,0.1777
2026-08-16 15:10,3059362,2026-08-16 23:00,CF America,At. San Luis,"Meksika Primera Ligi, Açılış",37,1,1.36,3.89,5.39,1.31,3.75,5.2,0.1779
2026-08-16 15:10,3143489,2026-08-16 23:00,Carabobo FC,Metropolitan,Venezuela Primera Ligi Kapanış,2938,0,1.46,3.49,4.69,1.41,3.36,4.52,0.1847
2026-08-16 15:10,3078557,2026-08-16 23:15,CD Olimpia,CD Motagua,"Honduras Ulusal Lig, Açılış",17361,0,1.7,3.14,3.64,1.63,3.03,3.51,0.1814
2026-08-16 15:10,3109637,2026-08-16 23:15,C Cordoba,Instituto AC Cordoba,"Arjantin Primera LPF, Kapanış",49038,1,3.54,2.74,2.0,3.41,2.64,1.93,0.1474
2026-08-16 15:10,3109673,2026-08-16 23:15,Barracas,Rosario C,"Arjantin Primera LPF, Kapanış",49038,1,2.41,2.67,2.8,2.32,2.58,2.7,0.1466
2026-08-16 15:10,3054204,2026-08-16 23:30,CS Cienciano,Deportivo Garcilaso,"Peru Primera Ligi, Kapanış",1882,1,2.11,3.07,2.62,2.03,2.96,2.53,0.1813
2026-08-16 15:10,3129683,2026-08-16 23:30,Independiente Petrolero,GV Club Deportivo San Jose de Oruro,Bolivya Profesyonel Lig,20546,0,1.73,3.38,3.25,1.67,3.26,3.13,0.1816
2026-08-16 15:10,3061751,2026-08-17 00:00,SD Aucas,LDU Quito,Ekvador Pro Lig,5161,1,2.49,2.89,2.32,2.4,2.79,2.23,0.1787
2026-08-16 15:10,3063232,2026-08-17 00:00,Unan Managua,ART Municipal Jalapa,Nikaragua Primera Ligi Açılış,16504,0,2.02,3.1,2.76,1.95,2.98,2.66,0.1799
2026-08-16 15:10,3092569,2026-08-17 00:00,CD Platense Municipal Zacatecoluca,CD Fas,"El Salvador Primera Division, Açılış",21641,0,3.64,2.98,1.75,3.51,2.87,1.69,0.1817
2026-08-16 15:10,3061699,2026-08-17 00:30,Austin FC,FC Dallas,ABD Major Lig,15,1,2.67,3.25,2.15,2.58,3.13,2.08,0.1473
2026-08-16 15:10,3061698,2026-08-17 01:10,Santos Laguna,Guadalajara Chivas,"Meksika Primera Ligi, Açılış",37,1,5.01,4.0,1.36,4.83,3.86,1.31,0.1849
2026-08-16 15:10,3078558,2026-08-17 01:30,Olancho FC,Juticalpa FC,"Honduras Ulusal Lig, Açılış",17361,0,1.14,5.06,9.42,1.1,4.88,9.08,0.181
2026-08-16 15:10,3061675,2026-08-17 02:30,Seattle Sounders,Vancouver Whitecaps,ABD Major Lig,15,1,3.55,3.55,1.71,3.43,3.43,1.65,0.1482
2026-08-16 15:10,3061717,2026-08-17 03:00,Club Tijuana,Cruz Azul,"Meksika Primera Ligi, Açılış",37,1,2.85,3.02,2.0,2.75,2.91,1.93,0.182
2026-08-16 15:10,3061759,2026-08-17 10:15,Melbourne Victory Gençler,Northcote City,Avustralya Victoria NPL 2,33339,0,2.25,3.56,2.2,2.17,3.43,2.12,0.1799
2026-08-16 15:10,3061707,2026-08-17 10:30,FC Bulleen Lions,North Sunshine Eagles FC,Avustralya Victoria NPL 2,33339,0,1.52,3.96,3.71,1.46,3.81,3.57,0.18
2026-08-16 15:10,3138916,2026-08-17 12:00,Swansea U21,Sheffield United U21,İngiltere Amatör Profesyonel Gelişim Ligi,33362,0,1.95,3.7,2.51,1.88,3.56,2.42,0.1815
2026-08-16 15:10,3061758,2026-08-17 13:00,Molde II,Rosenborg II,"Norveç 3. Lig, 2. Grup",2673,0,3.31,4.09,1.57,3.19,3.94,1.51,0.1836
2026-08-16 15:10,3056867,2026-08-17 15:00,Polissya Zhytomyr,Zory Luhansk,Ukrayna Premier Lig,1995,1,1.38,3.66,5.44,1.33,3.53,5.24,0.1817
2026-08-16 15:10,3059572,2026-08-17 15:00,Slovan Bratislava B,FK Humenne,Slovakya 2. Lig,16461,0,1.72,3.19,3.49,1.66,3.07,3.36,0.1814
2026-08-16 15:10,3061704,2026-08-17 15:00,Gnistan,Tampereen,Finlandiya Veikkausliiga,628,1,2.17,3.28,2.61,2.09,3.16,2.52,0.1488
2026-08-16 15:10,3061733,2026-08-17 15:00,Siauliai,FK Panevezys,Litvanya A Ligi,1817,0,2.56,3.23,2.08,2.47,3.11,2.01,0.181
2026-08-16 15:10,3138856,2026-08-17 15:00,FK Auda,Grobinas SC,Letonya Kupası,1816,0,1.48,3.64,4.29,1.43,3.51,4.13,0.1835
2026-08-16 15:10,3056718,2026-08-17 15:30,U. Cluj,Uta Arad,Romanya 1. Lig,1912,1,1.86,2.95,3.28,1.79,2.85,3.17,0.1815
2026-08-16 15:10,3057294,2026-08-17 15:30,Zalaegerszeg,Ferencvaros,Macaristan NB I,576,1,4.9,3.88,1.39,4.72,3.74,1.34,0.1812
